lib,format,unit,target,dtarget_ps,align_w,run,area_um2,cell_count,yosys_version,date
sky130hd,int4,dp32,unc,,24,0,27719.0848,2965,0.68+206,2026-09-17
sky130hd,int8,dp32,unc,,24,0,96720.2624,11802,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,24,0,107374.2304,15173,0.68+206,2026-09-17
sky130hd,mxint8,dp32,unc,,24,0,107381.7376,13221,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,unc,,24,0,34785.8624,4838,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,32,0,126276.1088,18579,0.68+206,2026-09-17
sky130hd,mxint8,dp32,unc,,32,0,106928.8032,13344,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,unc,,32,0,36175.9456,4987,0.68+206,2026-09-17
